"metric","bytes","bytes_pretty","bytes_per_row"
"core_relation_size",18128896,"17 MB",60
"visibility_map",0,"0 bytes",0
"free_space_map",24576,"24 kB",0
"table_size_incl_toast",18161664,"17 MB",60
"indexes_size",6758400,"6600 kB",22
"total_size_incl_toast_and_indexes",24920064,"24 MB",83
"live_rows_in_text_representation",10646038,"10 MB",35
"------------------------------",NULL,NULL,NULL
"row_count",300000,NULL,NULL
"live_tuples",300000,NULL,NULL
"dead_tuples",0,NULL,NULL
