"metric","bytes","bytes_pretty","bytes_per_row"
"core_relation_size",4431872,"4328 kB",44
"visibility_map",0,"0 bytes",0
"free_space_map",24576,"24 kB",0
"table_size_incl_toast",4456448,"4352 kB",44
"indexes_size",2260992,"2208 kB",22
"total_size_incl_toast_and_indexes",6717440,"6560 kB",67
"live_rows_in_text_representation",1822019,"1779 kB",18
"------------------------------",NULL,NULL,NULL
"row_count",100000,NULL,NULL
"live_tuples",100000,NULL,NULL
"dead_tuples",0,NULL,NULL
