"metric","bytes","bytes_pretty","bytes_per_row"
"core_relation_size",11558912,"11 MB",57
"visibility_map",0,"0 bytes",0
"free_space_map",24576,"24 kB",0
"table_size_incl_toast",11583488,"11 MB",57
"indexes_size",4513792,"4408 kB",22
"total_size_incl_toast_and_indexes",16097280,"15 MB",80
"live_rows_in_text_representation",6263286,"6116 kB",31
"------------------------------",NULL,NULL,NULL
"row_count",200000,NULL,NULL
"live_tuples",200000,NULL,NULL
"dead_tuples",0,NULL,NULL
